Date,Race,Age,Gender,JailId,Population_Interpolated,Admissions_Interpolated,Releases_Interpolated,ScrapeMissing
2021-08-29 00:00:00+00:00,All,All,All,MO-Platte,193.0,2.0,4.25,0
2021-08-29 00:00:00+00:00,All,All,All,MS-Clay,84.25,1.5,1.0,0
2021-08-29 00:00:00+00:00,All,All,All,MS-Hinds,609.75,8.75,9.5,0
2021-08-29 00:00:00+00:00,All,All,All,NC-Guilford,878.0,25.5,23.5,0
2021-08-29 00:00:00+00:00,All,All,All,NC-Mecklenburg,1572.25,30.75,22.75,0
2021-08-29 00:00:00+00:00,All,All,All,NE-Douglas,1310.5,40.0,36.25,0
2021-08-29 00:00:00+00:00,All,All,All,NY-New_York_City,7173.5,62.5,49.75,0
2021-08-29 00:00:00+00:00,All,All,All,OH-Butler,1005.75,23.75,16.0,0
2021-08-29 00:00:00+00:00,All,All,All,OH-Franklin,1790.25,62.0,54.0,0
2021-08-29 00:00:00+00:00,All,All,All,OH-Mahoning,418.0,11.25,6.5,0
2021-08-29 00:00:00+00:00,All,All,All,OH-Summit,544.0,11.5,10.75,0
2021-08-29 00:00:00+00:00,All,All,All,OH-Wood,125.0,0.4595744680851064,0.4595744680851064,1
2021-08-29 00:00:00+00:00,All,All,All,OR-Washington,578.0,20.25,16.0,0
2021-08-29 00:00:00+00:00,All,All,All,PA-Dauphin,751.0,10.25,10.25,0
2021-08-29 00:00:00+00:00,All,All,All,SC-Beaufort,113.75,8.25,5.75,0
2021-08-29 00:00:00+00:00,All,All,All,SC-Spartanburg,1439.0,23.25,19.25,0
2021-08-29 00:00:00+00:00,All,All,All,TN-Davidson,1716.75,29.0,33.0,0
2021-08-29 00:00:00+00:00,All,All,All,TX-Bell,1195.75,15.75,16.0,0
2021-08-29 00:00:00+00:00,All,All,All,TX-Calhoun,71.0,1.25,1.75,0
2021-08-29 00:00:00+00:00,All,All,All,TX-Ellis,509.75,13.0,9.0,0
2021-08-29 00:00:00+00:00,All,All,All,TX-Montgomery,1044.75,41.75,36.75,0
2021-08-29 00:00:00+00:00,All,All,All,TX-Polk,209.5,5.25,3.0,0
2021-08-29 00:00:00+00:00,All,All,All,VA-New_River_Valley,780.0,18.75,12.0,0
2021-08-29 00:00:00+00:00,All,All,All,VA-Warren,436.5,13.25,7.25,0
2021-08-29 00:00:00+00:00,All,All,All,WA-Kitsap,246.25,8.25,10.5,0
2021-08-29 00:00:00+00:00,All,All,All,WI-Calumet,119.5,2.0,2.5,0
2021-08-29 00:00:00+00:00,All,All,All,NJ-Essex,1619.75,22.0,30.0,0
2021-08-29 00:00:00+00:00,All,All,All,NJ-Salem,351.75,6.75,5.25,0
2021-08-29 00:00:00+00:00,All,All,All,AL-Madison,986.5,23.75,22.5,0
2021-08-29 00:00:00+00:00,All,All,All,AL-Pike,60.25,0.75,2.25,0
2021-08-29 00:00:00+00:00,All,All,All,CA-Kings,494.75,6.0,6.25,0
2021-08-29 00:00:00+00:00,All,All,All,CA-Tehama,187.5,7.25,5.5,0
2021-08-29 00:00:00+00:00,All,All,All,FL-Highlands,464.75,7.5,4.75,0
2021-08-29 00:00:00+00:00,All,All,All,FL-Lee,1471.25,29.5,28.25,0
2021-08-29 00:00:00+00:00,All,All,All,FL-Marion,1839.25,34.25,29.5,0
2021-08-29 00:00:00+00:00,All,All,All,GA-Richmond,2041.5,29.0,37.0,0
2021-08-29 00:00:00+00:00,All,All,All,GA-Spalding,468.5,13.75,10.5,0
2021-08-29 00:00:00+00:00,All,All,All,GA-Walton,527.5,8.25,4.25,0
2021-08-29 00:00:00+00:00,All,All,All,IA-Pottawattamie,177.5,11.75,13.5,0
2021-08-29 00:00:00+00:00,All,All,All,IL-Peoria,451.5,28.0,25.5,0
2021-08-29 00:00:00+00:00,All,All,All,KS-Leavenworth,176.25,5.0,3.75,0
2021-08-29 00:00:00+00:00,All,All,All,KS-Sedgwick,1523.25,56.25,47.25,0
2021-08-29 00:00:00+00:00,All,All,All,KY-Crittenden,107.75,2.25,2.0,0
2021-08-29 00:00:00+00:00,All,All,All,LA-Ascension,369.75,2.75,2.5,0
2021-08-29 00:00:00+00:00,All,All,All,MS-Harrison,1150.5,32.0,18.0,0
2021-08-29 00:00:00+00:00,All,All,All,NV-North_Las_Vegas,236.5,32.0,29.5,0
2021-08-29 00:00:00+00:00,All,All,All,OK-Creek,186.91385767790263,0.5955056179775282,0.805243445692884,1
2021-08-29 00:00:00+00:00,All,All,All,OR-Clackamas,224.25,18.25,17.75,0
2021-08-29 00:00:00+00:00,All,All,All,OR-Josephine,105.0,3.75,5.75,0
2021-08-29 00:00:00+00:00,All,All,All,SD-Pennington,1284.0,43.5,37.0,0
2021-08-29 00:00:00+00:00,All,All,All,TX-Brazos,629.75,21.5,18.5,0
2021-08-29 00:00:00+00:00,All,All,All,TX-Hays,616.0,17.0,20.25,0
2021-08-29 00:00:00+00:00,All,All,All,WI-Kenosha,1024.0,23.0,20.5,0
2021-08-29 00:00:00+00:00,All,All,All,WI-Racine,602.75,15.5,15.75,0
2021-08-29 00:00:00+00:00,All,All,All,AL-Coosa,36.0,0.75,1.0,0
2021-08-29 00:00:00+00:00,All,All,All,AL-DeKalb,254.5,6.0,5.5,0
2021-08-29 00:00:00+00:00,All,All,All,AL-Morgan,1270.0,0.0,0.0,0
2021-08-29 00:00:00+00:00,All,All,All,AR-Independence,68.25,2.25,0.75,0
2021-08-29 00:00:00+00:00,All,All,All,AR-Pulaski,1112.5,32.75,36.75,0
2021-08-29 00:00:00+00:00,All,All,All,CA-Amador,144.0,6.5,2.5,0
2021-08-29 00:00:00+00:00,All,All,All,CA-Siskiyou,82.25,1.5,0.75,0
2021-08-29 00:00:00+00:00,All,All,All,CA-Tulare,1405.25,38.0,28.0,0
2021-08-29 00:00:00+00:00,All,All,All,CO-Pueblo,541.0,17.5,16.0,0
2021-08-29 00:00:00+00:00,All,All,All,FL-Alachua,746.75,13.5,8.75,0
2021-08-29 00:00:00+00:00,All,All,All,FL-Hernando,1334.0,19.0,21.0,0
2021-08-29 00:00:00+00:00,All,All,All,FL-Okaloosa,746.5,17.25,14.75,0
2021-08-29 00:00:00+00:00,All,All,All,FL-Santa_Rosa,626.25,19.25,16.0,0
2021-08-29 00:00:00+00:00,All,All,All,FL-Sumter,439.75,8.5,8.75,0
2021-08-29 00:00:00+00:00,All,All,All,GA-Catoosa,22.5,1.0,1.0,0
2021-08-29 00:00:00+00:00,All,All,All,GA-Douglas,568.0,6.5,8.75,0
2021-08-29 00:00:00+00:00,All,All,All,GA-Floyd,524.5,11.25,9.75,0
2021-08-29 00:00:00+00:00,All,All,All,GA-Hall,1256.5,36.5,28.5,0
2021-08-29 00:00:00+00:00,All,All,All,GA-Troup,573.25,4.5,7.5,0
2021-08-29 00:00:00+00:00,All,All,All,IA-Black_Hawk,202.0,9.0,10.0,0
2021-08-29 00:00:00+00:00,All,All,All,ID-Cassia,123.0,3.75,4.5,0
2021-08-29 00:00:00+00:00,All,All,All,IL-Macon,304.25,5.5,6.75,0
2021-08-29 00:00:00+00:00,All,All,All,IN-Hancock,284.5,5.0,3.0,0
2021-08-29 00:00:00+00:00,All,All,All,IN-Hendricks,243.25,9.25,7.5,0
2021-08-29 00:00:00+00:00,All,All,All,IN-Knox,193.0,1.75,2.0,0
2021-08-29 00:00:00+00:00,All,All,All,IN-Porter,224.0,7.25,5.5,0
2021-08-29 00:00:00+00:00,All,All,All,IN-Vanderburgh,685.5,20.25,12.25,0
2021-08-29 00:00:00+00:00,All,All,All,KS-Chase,73.0,3.0,3.5,0
2021-08-29 00:00:00+00:00,All,All,All,KS-Finney,98.0,3.25,3.5,0
2021-08-29 00:00:00+00:00,All,All,All,KS-McPherson,44.0,2.0,3.0,0
2021-08-29 00:00:00+00:00,All,All,All,KS-Saline,234.0,9.75,9.25,0
2021-08-29 00:00:00+00:00,All,All,All,KS-Shawnee,541.25,13.75,13.75,0
